Age,Gender,Exercise Level,Sleep Hours,Work Hours per Week,Stress Score
53,Male,Low,7.6,79.2,77.19
39,Female,Medium,8.6,51.9,54.32
43,Female,High,5.5,62.8,71.72
63,Male,High,4.2,72.0,70.1
32,Female,Low,8.4,30.9,43.28
34,Male,Medium,6.0,27.2,48.62
37,Male,Medium,8.7,49.9,42.16
64,Female,Medium,7.3,55.2,54.83
59,Male,Low,6.2,58.8,72.85
62,Female,Low,9.6,20.5,27.86
23,Male,Medium,5.1,37.1,47.16
26,Male,High,7.1,44.6,47.35
48,Female,Medium,7.5,75.0,61.91
47,Female,Medium,8.0,75.8,68.38
25,Female,High,9.0,32.3,30.51
21,Male,Low,8.4,51.8,57.77
31,Female,Medium,7.5,29.3,35.66
60,Male,Low,6.2,47.3,65.6
27,Female,Medium,5.9,68.6,62.75
54,Male,Low,4.7,48.4,74.76
52,Female,High,9.6,69.8,51.63
31,Male,High,9.6,30.9,12.26
57,Female,Medium,4.3,66.9,81.16
54,Female,Medium,9.0,31.2,27.54
31,Female,Medium,6.2,72.6,66.22
57,Female,High,8.3,74.0,55.06
50,Male,High,7.0,33.9,47.44
19,Female,Low,9.4,57.5,46.52
23,Male,High,8.4,61.6,38.03
64,Male,Low,7.2,73.6,79.9
55,Male,Low,8.2,66.7,60.33
21,Female,Medium,8.6,72.6,53.29
55,Male,High,6.3,47.4,49.29
32,Male,Low,6.9,44.5,62.07
44,Male,High,8.2,52.6,42.21
22,Female,High,9.8,40.6,19.85
40,Male,Medium,9.7,29.2,33.33
35,Male,Low,4.1,72.3,100.0
53,Female,Low,9.5,62.4,51.52
45,Male,Medium,4.4,24.6,49.31
58,Female,High,6.7,26.8,41.2
63,Female,Medium,9.0,39.9,33.48
57,Male,Low,6.3,64.7,69.96
43,Male,High,6.4,52.2,61.58
19,Male,Medium,6.9,75.1,67.11
61,Male,High,5.5,54.7,50.42
41,Male,Low,8.7,36.7,46.82
38,Male,High,9.9,47.5,35.72
39,Female,High,10.0,50.1,37.2
30,Female,High,6.6,68.0,53.78
47,Male,Low,4.2,48.3,81.46
35,Male,Medium,8.3,51.7,52.6
47,Female,High,4.9,30.9,55.5
56,Male,Medium,5.6,58.6,62.96
40,Male,Medium,9.2,44.5,44.1
20,Female,High,8.0,21.2,15.2
64,Male,High,9.3,53.4,39.39
52,Female,Medium,7.6,68.4,67.55
54,Female,Low,6.4,39.4,52.54
27,Male,Low,5.2,21.6,47.6
53,Male,Medium,9.4,69.0,49.3
59,Male,Medium,6.2,22.1,45.6
54,Female,Medium,6.2,71.7,64.77
39,Female,Low,9.2,49.2,62.32
49,Male,Medium,4.1,36.1,64.4
62,Male,High,5.3,58.7,57.78
43,Female,Low,5.0,36.3,61.67
35,Female,Low,8.9,49.9,51.06
54,Male,Medium,9.0,32.4,24.51
38,Male,Low,5.6,63.9,78.64
62,Male,Low,5.1,74.9,85.44
45,Female,Medium,6.5,41.2,62.06
18,Male,Low,7.6,34.7,46.72
57,Male,Low,8.3,56.6,66.91
64,Female,Medium,4.8,49.0,59.2
64,Female,High,7.6,23.1,26.89
62,Male,Medium,7.7,48.5,45.41
57,Male,Low,7.0,61.3,68.19
56,Male,High,4.5,20.1,48.23
55,Female,High,5.9,68.4,69.22
34,Female,Low,6.7,31.1,51.77
41,Male,High,8.8,59.5,49.94
23,Female,Low,9.4,58.8,56.62
58,Male,Medium,4.2,62.3,80.32
40,Female,Low,6.8,38.8,55.68
24,Male,High,9.5,78.3,54.36
35,Male,Medium,4.3,47.3,69.64
56,Male,Medium,7.6,33.8,34.09
51,Male,Low,7.2,46.5,58.0
56,Male,Low,7.2,59.7,70.81
50,Female,Low,7.7,34.0,47.07
59,Female,Medium,4.0,31.1,54.63
49,Male,High,10.0,41.0,34.61
46,Female,Low,6.9,54.8,67.28
27,Female,Low,6.0,51.4,69.91
20,Male,Medium,5.8,71.2,72.39
54,Male,Low,9.5,22.7,28.02
41,Female,High,9.7,67.2,40.45
23,Male,High,9.7,48.0,30.83
42,Male,High,6.4,70.3,60.97
62,Female,Medium,4.3,43.0,54.62
20,Female,Medium,8.8,57.8,41.48
26,Male,Medium,7.2,35.6,41.6
35,Female,Low,4.9,68.9,84.53
64,Male,Low,9.4,71.6,62.58
20,Male,Low,9.3,77.3,70.58
26,Male,Low,7.3,25.2,43.05
32,Female,High,8.3,49.8,29.95
30,Female,Low,9.9,23.7,36.54
46,Male,Medium,7.4,59.7,61.73
30,Male,Low,9.3,67.8,62.09
50,Male,High,5.0,40.0,50.7
59,Female,High,8.2,31.4,34.76
62,Female,Low,4.2,69.5,82.09
60,Male,Medium,9.5,20.1,23.68
30,Male,High,5.2,25.0,35.37
58,Male,High,6.3,20.5,37.12
23,Male,Medium,4.1,45.9,68.02
45,Female,High,9.6,26.2,30.62
49,Female,Medium,9.7,30.0,36.74
34,Female,Medium,6.1,57.3,52.09
31,Female,High,9.8,65.0,32.25
29,Male,Low,4.1,39.4,68.48
28,Female,High,6.7,36.4,45.15
34,Male,Low,9.1,51.6,56.03
28,Female,Medium,8.6,33.8,26.97
20,Male,Medium,4.9,45.9,65.7
33,Male,High,9.8,65.6,37.74
18,Female,Medium,5.4,32.8,41.06
42,Female,Medium,9.2,48.4,53.12
63,Male,Low,4.5,29.2,61.9
24,Male,Low,4.8,22.0,61.93
20,Female,Medium,6.8,20.1,35.75
61,Female,Low,5.2,49.5,64.22
19,Female,High,9.9,29.0,16.14
47,Female,Medium,6.9,56.0,58.27
62,Male,Low,9.7,74.5,66.78
41,Male,Low,4.6,54.3,74.19
39,Female,Low,7.4,20.6,45.78
19,Male,Low,9.3,25.0,39.6
43,Female,High,4.8,54.1,66.91
32,Female,Medium,5.0,26.3,48.82
20,Male,Medium,7.6,57.0,53.54
58,Female,Medium,7.8,67.0,60.46
24,Male,Medium,8.9,47.1,41.61
58,Female,Medium,6.6,63.5,63.7
29,Male,Low,9.2,33.2,47.13
53,Male,Low,8.7,59.5,59.33
35,Female,Medium,7.9,39.9,47.71
20,Female,Medium,6.4,33.2,42.32
32,Male,High,6.8,72.1,61.15
41,Female,Low,6.1,42.3,75.41
41,Female,Low,7.1,55.3,62.63
51,Female,Medium,7.6,67.6,62.3
29,Male,Low,6.8,70.2,69.06
43,Female,Medium,5.1,34.3,65.47
54,Male,Medium,7.0,34.8,49.82
64,Female,High,6.2,55.6,47.59
42,Male,Medium,9.1,20.5,30.99
29,Female,Low,5.4,34.1,65.24
31,Female,Medium,6.7,60.2,52.3
22,Female,High,9.7,35.2,19.13
45,Male,High,8.4,59.8,48.74
61,Female,High,9.2,32.4,17.95
31,Female,Low,7.2,76.2,67.48
52,Female,Low,9.6,39.0,43.16
31,Female,Medium,6.4,48.8,55.85
51,Male,Medium,9.8,54.8,37.18
60,Female,High,8.0,28.4,20.36
62,Female,Medium,5.2,60.4,75.03
18,Male,Low,6.7,72.1,69.91
51,Male,High,9.9,42.5,19.02
35,Male,Medium,9.2,54.2,41.39
25,Male,Medium,9.5,56.0,48.52
31,Male,Low,7.5,40.9,47.43
23,Male,Low,9.2,79.6,70.81
30,Male,Low,4.7,59.0,81.74
21,Female,High,8.8,65.7,48.21
36,Male,High,6.3,37.8,49.51
38,Male,Low,6.2,43.8,71.0
46,Male,Low,5.4,42.4,66.57
43,Male,High,5.0,58.6,69.59
26,Male,Low,9.2,51.1,49.93
46,Female,Low,6.3,43.9,68.84
61,Female,High,6.4,53.0,54.35
61,Male,High,4.1,31.7,41.43
64,Male,High,5.5,75.6,61.11
38,Male,Medium,5.2,30.0,56.86
63,Male,Low,8.8,52.3,51.76
53,Female,Medium,6.4,78.6,77.36
47,Male,High,8.1,30.9,34.32
24,Male,Low,7.4,35.4,57.37
21,Female,High,8.9,42.4,30.02
64,Male,Low,7.6,69.2,76.77
26,Female,Low,7.9,30.5,42.49
59,Female,Low,5.4,66.8,76.61
36,Female,High,8.0,25.7,33.3
50,Male,Medium,4.9,34.1,64.55
50,Male,Low,4.6,21.4,65.23
45,Male,High,5.4,43.5,56.23
42,Female,High,7.6,60.6,52.83
56,Male,Low,4.1,40.5,76.56
21,Female,Medium,7.5,36.4,33.51
57,Male,Low,7.6,44.1,54.04
23,Male,High,4.4,51.1,50.17
22,Female,High,7.8,36.3,32.77
20,Female,Low,6.7,31.4,43.79
61,Female,Medium,7.3,63.8,58.28
25,Female,Medium,9.7,30.5,28.45
33,Female,Medium,6.5,69.3,56.1
33,Female,High,9.6,34.1,19.79
57,Female,Low,8.4,66.1,60.68
47,Male,Medium,5.5,67.3,80.7
33,Female,Medium,5.0,23.8,39.31
40,Female,Low,6.2,25.3,64.25
26,Male,High,9.0,36.8,33.11
35,Male,Medium,9.5,49.8,52.69
54,Female,Medium,7.0,43.8,49.5
62,Male,Medium,9.3,72.1,58.94
33,Male,Medium,4.5,44.2,54.45
19,Male,Medium,9.7,54.4,46.26
19,Male,Low,9.2,75.4,64.23
63,Female,Medium,9.0,39.1,43.48
23,Male,Low,6.2,24.1,41.77
42,Male,Low,7.3,77.9,81.24
30,Male,Medium,9.3,36.7,37.06
49,Male,High,7.7,59.0,46.6
22,Male,Medium,6.8,23.5,44.16
48,Female,High,9.9,34.4,21.14
26,Female,Medium,5.6,30.7,49.33
50,Female,High,5.4,34.0,44.81
46,Female,Medium,6.6,27.8,52.98
52,Male,High,6.5,69.7,63.28
39,Male,Medium,5.5,28.0,50.92
55,Male,Low,8.6,28.2,42.56
18,Male,Low,9.0,57.8,50.18
54,Male,Low,4.7,52.9,75.16
43,Female,Medium,5.9,64.2,70.68
58,Male,Low,6.8,67.1,79.97
58,Female,Low,8.0,76.6,78.18
46,Male,Medium,9.6,35.2,40.45
45,Male,High,8.0,73.7,61.74
32,Male,High,7.1,29.0,34.5
18,Male,Low,4.3,22.3,61.84
18,Male,High,4.4,20.7,46.59
38,Female,Medium,6.8,79.5,83.38
36,Male,High,5.1,30.4,42.11
47,Female,Medium,4.1,24.9,64.73
48,Female,Low,9.9,60.0,51.24
53,Female,Medium,4.4,77.6,81.17
27,Male,High,9.9,56.1,33.99
48,Female,Medium,4.8,40.3,69.85
26,Male,High,7.3,43.3,32.72
47,Female,Low,8.1,49.8,54.29
38,Male,Medium,8.9,71.7,66.21
58,Male,Medium,7.8,33.3,46.31
63,Female,Medium,8.7,59.4,44.51
39,Female,High,5.6,52.4,62.45
19,Male,Low,8.4,69.1,60.26
40,Female,Low,6.5,65.5,83.03
20,Male,Medium,7.4,61.3,61.13
64,Male,Low,5.0,47.7,63.5
18,Female,Low,9.3,36.7,36.39
59,Female,High,5.9,64.5,64.7
44,Male,Medium,6.1,67.0,72.64
39,Female,Medium,9.0,70.0,51.12
51,Male,Low,8.1,65.4,71.59
23,Female,High,10.0,42.1,23.18
37,Female,Medium,7.6,43.5,49.51
57,Male,Low,4.2,30.0,59.87
62,Female,Low,7.5,48.9,61.47
41,Male,Medium,7.4,53.6,59.43
51,Female,Medium,7.6,21.4,29.89
63,Male,Medium,8.2,64.8,62.96
48,Female,High,6.6,28.8,37.21
50,Female,High,5.3,55.9,66.09
28,Male,Medium,7.9,45.3,45.65
64,Male,High,6.5,70.4,58.24
26,Female,Low,5.1,41.7,62.5
30,Male,Low,7.5,55.2,64.12
62,Male,Low,4.3,71.2,83.77
22,Male,Low,6.9,46.1,65.8
53,Female,Medium,4.5,63.7,73.0
18,Female,Low,4.0,23.4,55.4
61,Female,Low,8.5,59.4,67.76
47,Female,Medium,5.7,35.7,51.65
45,Female,Medium,5.6,65.6,72.62
30,Female,Low,6.9,22.0,37.55
60,Male,Low,7.2,44.7,55.97
32,Female,High,9.8,53.6,38.69
59,Female,Medium,8.4,78.9,58.53
20,Male,Medium,5.1,40.3,51.04
38,Female,Low,5.1,21.3,63.8
59,Male,High,8.1,52.7,49.25
51,Female,Medium,7.3,67.5,62.21
51,Female,Medium,6.7,49.1,47.87
19,Female,Low,8.0,47.7,52.7
56,Female,High,7.1,68.4,55.2
49,Male,Low,5.0,39.8,75.72
39,Male,Low,8.0,29.7,46.96
58,Female,Medium,8.5,53.5,47.85
20,Female,Low,6.3,67.9,72.17
40,Male,High,6.3,66.5,71.17
29,Female,Low,7.5,58.1,67.65
64,Male,Medium,7.2,29.5,42.67
29,Female,High,7.7,41.8,41.66
60,Female,Medium,4.8,32.1,47.8
54,Female,High,5.9,67.9,69.04
36,Female,Low,8.8,50.3,66.05
62,Male,Low,8.0,58.1,56.83
55,Female,High,7.9,27.8,30.85
20,Male,Low,8.9,32.6,38.72
52,Male,Low,5.8,75.1,77.01
61,Male,High,9.4,59.1,35.79
41,Female,Medium,9.0,40.1,36.66
38,Female,Medium,4.6,34.4,54.65
58,Male,High,5.1,56.8,57.71
39,Male,Low,8.8,70.6,66.41
50,Female,Low,8.1,39.5,59.07
45,Male,High,5.0,59.3,73.79
40,Female,High,6.0,72.0,63.56
32,Male,Low,4.2,38.2,70.09
31,Female,Low,8.6,67.3,65.25
35,Male,Low,9.2,20.0,33.49
51,Female,Medium,6.8,71.9,67.2
52,Male,Medium,8.8,48.7,34.98
57,Female,Medium,9.5,36.8,37.99
36,Female,High,9.0,62.0,53.13
62,Male,Medium,8.4,38.3,44.14
36,Male,Medium,5.3,27.2,45.75
34,Female,Low,4.1,48.1,70.86
28,Male,High,5.4,63.8,61.35
21,Female,Medium,8.0,55.6,55.01
33,Male,Medium,8.8,22.1,26.7
63,Female,Low,7.1,23.8,51.89
20,Female,Low,8.4,51.5,46.78
52,Male,Medium,9.3,54.3,43.92
64,Female,Medium,6.6,66.4,65.68
43,Female,Low,5.0,76.9,92.19
46,Male,High,7.1,26.3,34.43
62,Male,Medium,5.6,36.3,51.19
58,Male,High,6.4,73.5,54.04
29,Female,Medium,9.4,34.3,28.65
46,Male,Low,7.7,48.2,61.92
37,Female,Low,7.1,20.3,41.82
25,Male,Low,6.0,68.2,77.08
59,Male,Medium,9.6,43.8,29.34
58,Male,Low,6.1,50.4,73.39
30,Female,High,4.3,47.0,62.3
62,Male,High,6.5,74.5,65.86
29,Male,Low,8.9,77.3,71.85
25,Male,High,4.0,63.1,71.33
64,Female,Medium,5.5,59.9,70.39
53,Female,Low,4.7,45.1,75.05
50,Female,Medium,5.9,65.0,70.22
46,Male,Medium,6.2,55.6,57.08
35,Male,Medium,4.7,29.3,51.68
23,Male,Low,9.4,24.0,33.8
57,Female,Low,8.2,51.9,56.97
62,Male,Medium,9.5,68.5,46.43
42,Male,Low,4.4,43.2,82.17
53,Male,Low,5.7,38.4,67.08
61,Female,High,6.7,54.8,53.92
40,Female,High,7.5,42.3,45.14
53,Female,Low,7.2,50.7,56.78
24,Female,Low,9.3,40.8,37.87
46,Female,Medium,7.8,40.4,40.96
28,Male,Low,8.1,56.3,56.72
29,Female,Low,4.6,30.0,68.25
47,Female,High,7.2,28.1,30.38
63,Female,High,6.3,29.6,29.33
32,Male,Medium,4.8,70.1,71.27
54,Male,High,6.7,79.7,65.22
46,Male,High,9.8,43.4,30.97
39,Female,Low,4.9,53.2,80.42
39,Male,High,9.0,41.4,40.54
62,Male,Medium,4.3,40.5,56.58
61,Male,High,7.3,29.9,33.77
52,Male,High,8.9,32.4,30.27
52,Female,Medium,7.7,54.2,53.16
54,Male,Low,4.9,71.2,88.77
36,Male,High,9.5,63.3,46.53
29,Female,Low,8.5,53.0,47.77
37,Male,Medium,4.2,78.2,95.09
43,Female,Medium,7.5,42.5,47.05
50,Female,High,6.3,50.7,54.18
34,Male,Low,9.9,44.5,48.08
64,Female,High,9.7,32.0,15.08
62,Male,Low,9.1,73.6,58.85
55,Male,High,4.2,78.3,71.61
33,Female,Medium,8.1,63.4,55.74
59,Female,Medium,7.9,69.2,56.69
52,Female,Medium,9.7,20.5,29.55
25,Female,Low,4.5,20.1,48.09
53,Male,Low,8.4,28.6,46.84
22,Female,Low,8.6,70.8,66.44
57,Male,Low,8.3,36.8,51.12
48,Female,High,6.1,26.7,46.35
62,Female,Medium,4.0,26.1,59.25
19,Female,Low,7.0,67.7,74.1
19,Female,Medium,6.4,37.7,41.97
56,Male,High,9.6,44.3,35.8
46,Male,Low,9.1,52.9,54.46
30,Male,High,6.1,58.9,46.91
34,Male,High,9.2,47.2,36.02
37,Female,Medium,5.5,62.8,77.89
41,Male,Medium,7.4,27.2,48.97
25,Female,High,5.0,72.9,72.29
28,Male,Low,5.9,20.0,48.66
43,Female,Medium,8.2,23.8,41.41
58,Female,Low,9.6,25.0,41.58
18,Male,High,7.4,72.0,55.53
35,Male,High,6.6,74.6,64.87
29,Male,Low,4.7,22.5,57.03
44,Male,High,4.0,30.0,57.12
30,Male,Low,5.7,27.8,57.0
42,Female,Low,4.6,66.9,91.51
59,Male,Low,7.0,43.1,64.38
52,Male,Medium,7.8,66.2,49.99
24,Male,Low,6.5,69.3,79.89
33,Male,Low,9.2,63.8,59.84
53,Male,High,7.6,37.7,29.29
24,Female,Medium,8.4,78.5,52.83
45,Female,Medium,5.2,73.4,76.78
52,Male,Low,8.9,66.9,63.37
64,Male,Medium,4.1,42.7,60.23
39,Male,Medium,6.5,49.6,58.31
34,Female,Medium,5.6,63.5,71.41
43,Female,Low,5.9,66.4,87.1
57,Female,Medium,9.1,54.5,37.65
64,Female,Low,4.7,35.9,57.97
42,Male,High,7.1,40.9,42.59
33,Female,High,8.0,52.9,46.37
26,Female,High,9.0,56.4,33.98
62,Female,High,5.8,23.9,31.86
51,Female,Low,8.5,48.4,47.09
43,Female,Low,5.4,51.8,78.82
28,Male,Medium,6.2,33.5,40.05
59,Male,Medium,9.1,38.9,32.03
30,Male,High,5.0,58.6,63.54
64,Female,Medium,5.7,48.2,63.98
58,Female,Medium,8.1,75.8,61.83
58,Male,Medium,6.5,38.1,52.28
49,Male,Medium,8.1,24.6,33.68
39,Female,Medium,7.3,30.8,44.24
20,Female,Medium,6.7,32.6,34.75
50,Male,High,8.8,71.2,49.96
23,Male,High,7.0,44.4,47.53
29,Male,Low,6.6,55.6,58.83
35,Female,Medium,5.1,67.6,83.56
51,Male,High,6.4,77.2,71.97
25,Male,Medium,6.9,63.1,54.79
18,Male,High,8.7,77.6,55.38
46,Female,Low,9.0,67.1,65.42
45,Female,High,7.8,33.3,33.89
19,Male,High,5.5,34.7,40.43
61,Male,Low,4.7,37.3,64.92
44,Female,High,7.0,50.8,50.81
20,Female,Low,4.2,23.5,58.15
43,Female,Low,8.7,35.1,51.18
44,Female,Low,5.4,31.5,71.19
40,Female,High,5.3,22.3,35.31
34,Female,Medium,8.1,33.5,34.39
28,Female,High,6.6,39.6,45.03
62,Female,High,9.4,76.8,55.58
38,Female,High,6.9,49.9,46.4
46,Female,Low,5.8,55.6,69.44
63,Male,High,4.4,76.4,73.97
20,Male,High,9.0,39.9,30.65
41,Female,Medium,8.9,50.9,47.72
40,Male,Low,6.4,52.8,72.89
23,Male,Low,9.8,33.6,33.59
37,Male,High,4.3,31.5,50.09
53,Male,Low,9.1,45.4,46.19
54,Male,High,5.6,27.5,36.64
64,Female,High,5.3,65.7,63.75
25,Male,High,6.5,65.2,47.28
51,Male,Medium,7.5,77.1,58.49
34,Female,High,8.3,65.5,39.77
18,Male,Low,5.0,78.3,86.05
19,Female,High,8.3,47.7,42.47
40,Female,High,9.1,40.7,27.04
58,Male,Low,6.1,40.1,69.04
20,Male,High,8.6,60.3,40.51
18,Male,High,6.9,50.4,42.45
21,Female,Low,4.2,70.3,78.79
50,Female,Medium,6.6,34.1,53.37
36,Female,Low,7.2,52.4,66.77
22,Male,Medium,4.7,77.7,81.53
36,Female,High,9.3,68.5,52.76
61,Male,Medium,9.2,60.4,52.15
24,Female,High,7.4,70.0,59.49
35,Female,Low,7.3,37.3,55.51
44,Female,Low,9.6,45.8,58.07
22,Female,High,6.1,25.0,30.6
39,Male,High,4.3,42.4,66.5
30,Female,Medium,8.4,27.0,34.56
46,Female,Low,6.0,76.5,94.82
25,Female,Medium,7.1,30.8,46.25
22,Female,Medium,7.3,31.4,39.29
44,Male,High,5.6,32.3,46.99
33,Female,Medium,8.1,28.6,33.87
44,Male,High,9.7,37.8,23.34
61,Male,High,7.9,36.0,25.15
20,Female,High,7.4,47.0,42.62
23,Male,High,5.6,55.9,59.64
18,Male,Medium,6.7,56.7,51.37
38,Male,Medium,7.8,42.4,42.13
18,Male,Low,7.5,35.2,48.57
18,Female,Low,9.0,31.3,42.16
55,Male,Medium,4.0,46.0,58.41
38,Male,Low,6.6,35.5,59.98
26,Male,Medium,10.0,33.8,26.88
58,Female,Medium,8.3,25.5,26.97
40,Male,High,4.2,41.4,51.83
60,Female,Medium,4.4,47.5,67.91
50,Male,Medium,6.2,40.0,61.65
36,Female,High,5.7,67.2,65.4
55,Male,High,8.4,51.3,32.21
59,Male,Low,5.2,68.0,79.14
45,Male,Medium,9.2,22.1,35.03
19,Male,Medium,5.5,62.3,64.08
53,Female,High,9.6,23.8,22.35
39,Female,High,7.6,32.1,38.52
24,Male,High,6.9,75.6,52.4
20,Female,Medium,7.9,35.6,32.0
46,Male,Low,5.1,59.9,88.79
62,Male,High,4.7,37.4,46.77
44,Female,Medium,7.2,41.4,49.09
41,Male,Low,5.8,74.8,94.99
53,Female,Medium,6.2,36.3,44.01
38,Male,Low,4.5,69.7,89.26
58,Female,Low,8.1,70.3,74.76
20,Female,Low,4.1,37.8,67.31
40,Male,Medium,6.3,49.4,59.46
57,Male,Medium,7.2,67.4,58.42
50,Female,Low,6.5,63.9,84.32
27,Male,High,5.3,51.2,54.23
31,Male,High,5.5,36.1,40.42
45,Female,High,7.3,44.9,44.71
36,Male,Medium,6.5,65.2,64.28
51,Male,Low,9.2,57.9,56.5
30,Female,Low,7.0,76.0,74.81
41,Female,Low,5.2,43.5,78.86
24,Female,Low,9.7,66.6,58.42
60,Male,High,6.8,53.6,50.45
49,Female,Low,8.4,61.8,71.51
46,Male,Medium,9.1,49.1,44.02
58,Male,Medium,7.1,69.2,61.88
32,Male,High,4.5,43.3,57.16
19,Female,Medium,6.9,30.9,43.87
32,Female,Low,9.9,47.0,44.53
32,Female,Low,7.4,39.3,47.99
31,Female,High,8.2,42.5,30.82
28,Female,High,8.3,20.5,15.51
26,Female,High,8.8,66.4,44.69
42,Female,Low,7.5,66.9,78.89
56,Female,Medium,8.6,20.9,23.07
61,Male,High,5.0,31.7,50.97
46,Female,Low,5.5,56.3,77.37
43,Female,Medium,7.5,57.9,54.27
59,Male,Low,8.3,43.2,53.55
57,Male,High,9.2,72.1,51.15
28,Male,Low,7.5,28.0,44.24
40,Female,Medium,8.8,36.3,43.71
64,Male,Medium,8.5,33.5,35.89
49,Female,Low,8.2,33.1,53.34
39,Female,High,8.7,69.3,52.84
